Date,AWAY,HOME,Crew Chief,Referee,Umpire,Fouls by Away,FTM,FTA,Fouls by Home,FTM,FTA,Total Fouls,Real Ref Diff,Most Drawn Shooting Fouls ,Ref Foul avg,Ref Diff,Comments,Comments 2
4/22/2022,MIA,ATL,Eric Lewis,Ben Taylor,JB DeRosa,23,14,17,20,17,21,43,3,ATL,43.000,3.000,Butler u,
4/22/2022,MIL,CHI,Marc Davis,Sean Wright,Brian Forte,15,10,14,15,6,10,30,0,Same / MIL,43.393,2.100,Gian u,
4/22/2022,PHX,NOP,Zach Zarba,Curtis Blair,Brent Barnaky,21,22,27,28,24,31,45,-7,NOP,44.000,5.000,CJ & BI o,
4/21/2022,MEM,MIN,James Capers,Josh Tiven,Scott Twardoski,20,20,31,28,17,23,48,-8,MEM,45.889,,,
4/21/2022,GSW,DEN,David Guthrie,Courtney Kirkland,Mark Lindsay,25,18,28,26,22,27,51,-1,Same,46.443,,,
4/21/2022,DAL,UTA,John Goble,Tre Maddox,Nick Buchert,31,26,31,27,31,33,58,4,Same,49.333,,"Mitchell, Dinwiddie, Brunson o",
4/20/2022,BKN,BOS,Eric Lewis,Tyler Ford,Jacyn Goble,28,27,34,27,25,31,55,1,Same,50.833,3.500,,
4/20/2022,CHI,MIL,Kane Fitzgerald,Curtis Blair,Ben Taylor,20,14,15,17,20,31,37,3,MIL,40.667,8.300,,
4/20/2022,PHI,TOR,Marc Davis,Sean Wright,Justin Van Duyne,21,15,20,21,12,18,42,0,Same,44.167,,,
4/19/2022,ATL,MIA,John Goble,Tre Maddox,Nick Buchert,26,11,14,24,25,29,50,2,MIA,53.333,8.000,,
4/19/2022,NOP,PHO,Scott Foster,Tony Brothers,Pat Fraher,20,16,20,18,15,18,38,2,Same,42.333,4.000,,
4/19/2022,MIN,MEM,Zach Zarba,James Williams,Mitchell Ervin,28,25,28,22,25,32,50,6,MEM / Same,50.000,16.000,,
4/18/2022,TOR,PHI,James Capers,Mark Lindsay,JB DeRosa,24,10,12,18,26,30,42,6,PHI,,,,
4/18/2022,DEN,GSW,Kane Fitzgerald,Curtis Blair,Kevin Cutler,25,19,21,20,17,24,45,5,GSW / Same,,,,
4/18/2022,UTA,DAL,David Guthrie,Courtney Kirkland,Ed Malloy,19,17,20,19,10,13,38,0,UTA,,-4.500,,
4/17/2022,ATL,MIA,Marc Davis,Josh Tiven,Eric Dalen,19,23,27,22,11,18,41,-3,ATL / Same,39.477,-5.100,,
4/17/2022,BKN,BOS,Zach Zarba,James Williams,Rodney Mott,26,19,24,24,19,24,50,2,Same,49.833,5.500,,
4/17/2022,CHI,MIL,John Goble,Tony Brothers,Michael Smith,22,17,19,21,15,23,43,1,MIL / Same,,,,
4/17/2022,NOP,PHO,Eric Lewis,Ben Taylor,Gediminas Petraitis,18,18,26,23,16,21,41,-5,NOP,42.644,6.700,,
4/16/2022,TOR,PHI,Kane Fitzgerald,Bill Kennedy,Jacyn Goble,26,19,23,18,29,34,44,8,PHI,49.833,20.500,,
4/16/2022,MIN,MEM,David Guthrie,Sean Wright,Tom Washington,32,24,27,24,32,43,56,8,MEM,51.110,14.300,,
4/16/2022,DEN,GSW,Scott Foster,Ed Malloy,Karl Lane,22,10,13,22,21,29,44,0,GSW,,,,
4/16/2022,UTA,DAL,James Capers,Pat Fraher,Tyler Ford,25,20,23,22,26,34,47,3,DAL,,,,
